Deal name masked,Customer Name Code,Serial #,Nature of Work,Last executed month of recurring project,Execution Status,Data Delivery Date,Date of PO/LOI,Document Type,Probable Start Date,Probable End Date,BD/KAM Personnel code,Sector,Type of Work,Is any Skylark software platform part of the client deliverables in this deal?,Last invoice date,latest invoice no.,Amount in Rupees (Excl of GST) (Masked),Amount in Rupees (Incl of GST) (Masked),Billed Value in Rupees (Excl of GST.) (Masked),Billed Value in Rupees (Incl of GST.) (Masked),Collected Amount in Rupees (Incl of GST.) (Masked),Amount to be billed in Rs. (Exl. of GST) (Masked),Amount to be billed in Rs. (Incl. of GST) (Masked),Amount Receivable (Masked),AR Priority account,Quantity by Ops,Quantities as per PO,Quantity billed (till date),Balance in quantity,Invoice Status,Expected Billing Month,Actual Billing Month,Actual Collection Month,WO Status (billed),Collection status,Collection Date,Billing Status
Alias_160,WOCOMPANY_051,SDPLDEAL-014,One time Project,,Completed,30-05-2025,10-04-2025,Purchase Order,09-04-2025,20-06-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,24-09-2025,SDPL/FY25-26/475,250339.6,295400.728,177469.3187,209413.7961,191666.4104,72870.28128,85986.93191,17747.38569,,922.484,1400,,1400,Fully Billed,,September,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-015,One time Project,,Completed,03-05-2025,10-04-2025,Purchase Order,22-04-2025,20-06-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,06-08-2025,SDPL/FY25-26/384,109791.796,129554.3193,109791.796,129554.3193,118573.9065,0,0,10980.4128,,613.57,614,,614,Fully Billed,,August,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-016,One time Project,,Completed,06-05-2025,10-04-2025,Purchase Order,25-04-2025,13-06-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,08-09-2025,SDPL/FY25-26/437,210799.5084,248743.4199,210799.5084,248743.4199,189719.4712,0,0,59023.94868,Priority,1213.9,1178.88,,1178.88,Fully Billed,,September,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-017,One time Project,,Completed,13-05-2025,10-04-2025,Purchase Order,25-04-2025,31-05-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,10-07-2025,SDPL/FY25-26/133,62584.9,73850.182,62584.9,73850.182,67591.91398,0,0,6258.268024,,348.2,350,,350,Fully Billed,,July,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-018,One time Project,,Completed,06-05-2025,10-04-2025,Purchase Order,28-04-2025,31-05-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,29-06-2025,SDPL/FY25-26/099,260360.5832,307225.4882,260353.184,307216.7571,281181.8333,7.3992,8.731056,26034.92378,,1437.2,1456,,1456,Fully Billed,,July,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-019,One time Project,,Completed,14-06-2025,10-04-2025,Purchase Order,01-05-2025,30-05-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,27-06-2025,SDPL/FY25-26/110,157535.134,185891.4581,157399.2354,185731.0977,185891.3348,135.89864,160.3603952,-160.2370752,,880.27,881,,881,Fully Billed,,July,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-020,One time Project,,Completed,03-06-2025,10-04-2025,Purchase Order,02-05-2025,30-05-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,19-07-2025,SDPL/FY25-26/360,227987.85,269025.663,215828.498,254677.6276,233094.3832,12159.352,14348.03536,21583.24442,,1206.67,1275,1207,68,Fully Billed,,July,,Closed,,,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-021,One time Project,,Completed,24-06-2025,10-04-2025,Purchase Order,01-05-2025,31-05-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,08-08-2025,SDPL/FY25-26/399,151275.4108,178504.9847,125206.796,147744.0193,147743.526,26068.6148,30760.96546,0.49328,,383.54,446.07,,446.07,Fully Billed,,August,,Closed,,,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-022,One time Project,,Completed,07-05-2025,10-04-2025,Purchase Order,01-05-2025,31-05-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,05-08-2025,SDPL/FY25-26/143,1164911.55,1374595.629,1138011.758,1342853.875,1342853.678,26899.7916,31741.75409,0.197312,,3352.936219,3435,,3435,Fully Billed,,August,,Closed,,,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-024,One time Project,,Completed,07-06-2025,10-04-2025,Purchase Order,01-05-2025,31-05-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,06-08-2025,SDPL/FY25-26/389,371860.3612,438795.2262,365246.7096,430991.1173,430990.772,6613.6516,7804.108888,0.345296,,,662.27,,662.27,Fully Billed,,August,,Closed,,,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-023,One time Project,,Completed,24-06-2025,10-04-2025,Purchase Order,01-05-2025,31-05-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,07-08-2025,SDPL/FY25-26/394,440190.74,519425.0732,396450.3692,467811.4357,467810.7204,43740.3708,51613.63754,0.715256,,1073.63,1180,,1180,Fully Billed,,September,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-025,One time Project,,Completed,10-07-2025,10-04-2025,Purchase Order,07-05-2025,15-06-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,25-07-2025,SDPL/FY25-26/371,170274.09,200923.4262,170274.09,200923.4262,,0,0,200923.4262,,952.24,952.24,,952.24,Fully Billed,,July,,Closed,,,
Tanjiro,WOCOMPANY_005,SDPLDEAL-026,One time Project,,Completed,11-06-2025,10-04-2025,Purchase Order,01-05-2025,30-05-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,07-08-2025,SDPL/FY25-26/395,183130.2,216093.636,179510.758,211822.6944,17951.6924,3619.442,4270.94156,193871.002,,808.664192,825,,825,Fully Billed,,July,,Closed,,,
Tanjiro,WOCOMPANY_005,SDPLDEAL-027,One time Project,,Completed,16-06-2025,10-04-2025,Purchase Order,01-05-2025,30-05-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,08-08-2025,SDPL/FY25-26/398,937848.6,1106661.348,937848.6,1106661.348,,0,0,1106661.348,,4178.438199,4225,,4225,Fully Billed,,August,,Closed,,,
Tanjiro,WOCOMPANY_005,SDPLDEAL-028,One time Project,,Completed,16-06-2025,10-04-2025,Purchase Order,01-05-2025,30-05-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,07-08-2025,SDPL/FY25-26/396,355161.6,419090.688,336437.9244,396996.7508,,18723.6756,22093.93721,396996.7508,,1505.64583,1600,,1600,Fully Billed,,August,,Closed,,,
Tanjiro,WOCOMPANY_005,SDPLDEAL-029,One time Project,,Completed,13-06-2025,10-04-2025,Purchase Order,01-05-2025,30-05-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,06-08-2025,SDPL/FY25-26/392,358830.8633,423420.4187,358830.37,423419.8366,,0.49328,0.5820704,423419.8366,,1626.320549,1616.53,,1616.53,Fully Billed,,August,,Closed,,,
Armin,WOCOMPANY_020,SDPLDEAL-030,One time Project,,Completed,09-05-2025,10-04-2025,Purchase Order,15-04-2025,30-05-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,24-06-2025,SDPL/FY25-26/084,135488.712,159876.6801,135489.2176,159877.2768,159876.9808,-0.505612,-0.59662216,0.295968,,396.22,406,,406,Fully Billed,,June,,Closed,,,
Armin,WOCOMPANY_020,SDPLDEAL-031,One time Project,,Completed,09-05-2025,10-04-2025,Purchase Order,15-04-2025,30-05-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,24-06-2025,SDPL/FY25-26/086,236813.8624,279440.3576,236813.8624,279440.3576,4737.9544,0,0,274702.4032,,705.02,711.23,,711.23,Fully Billed,,June,,Closed,,,
Armin,WOCOMPANY_020,SDPLDEAL-032,One time Project,,Completed,09-05-2025,10-04-2025,Purchase Order,15-04-2025,30-05-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,24-06-2025,SDPL/FY25-26/085,382095.9212,450873.187,382095.9212,450873.187,450873.9516,0,0,-0.764584,,1144.13,1147.56,,1147.56,Fully Billed,,June,,Closed,,,
Jessie,WOCOMPANY_043,SDPLDEAL-033,Annual Rate Contract,June,Completed,15-06-2025,10-04-2025,Purchase Order,21-04-2025,31-05-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,21-08-2025,SDPL/FY25-26/418,755939.268,892008.3362,545913.7159,644178.1848,383312.436,210025.5521,247830.1515,260865.7488,Priority,6539.578,5838,,5838,Partially Billed,,August,,Closed,,,
Naruto,WOCOMPANY_001,SDPLDEAL-034,One time Project,,Completed,,27-05-2025,Purchase Order,27-05-2025,30-06-2025,OWNER_003,Renewables,Hydrology,NONE,16-09-2025,SDPL/FY25-26/455,308300,363794,308300,363794,120853.6,0,0,242940.4,Priority,,1,,1,Fully Billed,,,,Closed,,,
Inosuke,WOCOMPANY_045,SDPLDEAL-035,Proof of Concept,,Ongoing,,13-05-2025,LOA/LOI,01-06-2025,30-06-2025,OWNER_003,Railways,Road/rail survey,NONE,,,1.2332,1.455176,,0,,1.2332,1.455176,0,,,1,,1,,,,,Open,,,Not Billable
Alias_162,WOCOMPANY_052,SDPLDEAL-037,Annual Rate Contract,Dec,Completed,18-06-2025,25-04-2025,Purchase Order,04-06-2025,30-06-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,,,2250751.549,2655886.828,2158261.919,2546749.065,,92489.63004,109137.7634,2546749.065,Priority,,300,,300,Partially Billed,,July,,Open,,,
Alias_162,WOCOMPANY_052,SDPLDEAL-038,One time Project,,Completed,22-06-2025,10-04-2025,Purchase Order,12-06-2025,30-06-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,01-08-2025,SDPL/FY25-26/372,476015.2,561697.936,476382.6936,562131.5784,562132.0224,-367.4936,-433.642448,-0.443952,,,643,,643,Fully Billed,,July,,Closed,,,
Alphonse,WOCOMPANY_009,SDPLDEAL-040,One time Project,,Completed,23-09-2025,11-06-2025,Purchase Order,16-06-2025,04-07-2025,OWNER_001,Renewables,Topography Survey: RGB,NONE,,,1426208.132,1682925.596,,0,,1426208.132,1682925.596,0,,,2057 Acr,,2057,Not billed yet,,,,Open,,,
Alphonse,WOCOMPANY_009,SDPLDEAL-041,One time Project,,Completed,11-06-2025,11-06-2025,Purchase Order,02-06-2025,13-06-2025,OWNER_001,Renewables,"Hydrology, Topography Survey: RGB",NONE,17-06-2025,SDPL/FY25-26/068,443952,523863.36,443952,523863.36,523863.36,0,0,0,,,1,1,0,Fully Billed,,June,,Closed,,,
Alphonse,WOCOMPANY_009,SDPLDEAL-042,One time Project,,Completed,,11-06-2025,Purchase Order,02-06-2025,11-06-2025,OWNER_001,Renewables,"Topography Survey: RGB, Hydrology",NONE,17-06-2025,SDPL/FY25-26/069,881738,1040450.84,881738,1040450.84,895103.4216,0,0,145347.4184,,,1,1,0,Fully Billed,,September,,Closed,,,
Erwin,WOCOMPANY_021,SDPLDEAL-043,One time Project,,Completed,15-06-2025,10-04-2025,Purchase Order,16-06-2025,23-06-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,16-09-2025,SDPL/FY25-26/453,16648.2,19644.876,16648.2,19644.876,,0,0,19644.876,,,50 HA,,50,Fully Billed,,September,,Closed,,,
Tanjiro,WOCOMPANY_005,SDPLDEAL-044,One time Project,,Completed,02-07-2025,10-04-2025,LOA/LOI,14-06-2025,23-06-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,20-08-2025,SDPL/FY25-26/407,12774.7188,15074.16818,12774.7188,15074.16818,15074.6368,0,0,-0.468616,,,57.55 HA,,57.55,Fully Billed,,August,,Closed,,,
Tanjiro,WOCOMPANY_051,SDPLDEAL-046,One time Project,,Completed,05-05-2025,10-04-2025,Purchase Order,22-05-2025,22-06-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,25-07-2025,SDPL/FY25-26/369,390952.7636,461324.261,390887.404,461247.1367,461247.63,65.3596,77.124328,-0.49328,,2246.97,2186.54 HA,,2186.54,Fully Billed,,July,,Closed,,,
Tanjiro,WOCOMPANY_051,SDPLDEAL-047,One time Project,,Completed,26-05-2025,10-04-2025,Purchase Order,15-05-2025,16-06-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,02-07-2025,SDPL/FY25-26/115,476539.31,562316.3858,469116.7409,553557.7542,506645.9025,7422.56914,8758.631585,46911.85167,,1993.1968,2665 HA,2623.49,41.51,Fully Billed,,July,,Closed,,,
Tanjiro,WOCOMPANY_051,SDPLDEAL-048,One time Project,,Completed,13-05-2025,10-04-2025,Purchase Order,14-04-2025,30-06-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,27-06-2025,SDPL/FY25-26/097,145842.4865,172094.1341,145842.4865,172094.1341,157509.7547,0,0,14584.37937,,815.61,815.6 HA,815.61,-0.01,Fully Billed,,July,,Closed,,,
Tanjiro,WOCOMPANY_051,SDPLDEAL-049,One time Project,,Completed,10-06-2025,10-04-2025,Purchase Order,21-04-2025,21-07-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,22-07-2025,SDPL/FY25-26/363,707388.184,834718.0571,707388.184,834718.0571,763979.732,0,0,70738.32512,,3961.22,3956HA,3956,0,Fully Billed,,September,,Closed,,,
Timon,WOCOMPANY_046,SDPLDEAL-050,Proof of Concept,,Completed,,20-06-2025,Email Confirmation,23-06-2025,10-08-2025,OWNER_001,Renewables,"Videography for construction monitoring, Topography Survey: RGB",NONE,,,1.2332,1.455176,,0,,1.2332,1.455176,0,,,2 location,,2,,,,,Open,,,
Alphonse,WOCOMPANY_009,SDPLDEAL-051,One time Project,,Completed,,17-06-2025,Purchase Order,01-01-2025,20-06-2025,OWNER_005,Renewables,Others,SPECTRA,20-06-2025,SDPL/FY25-26/080,2466400,2910352,2466400,2910352,2910352,0,0,0,,,1,1,0,Fully Billed,,,,Closed,,,
Mr. Krabs,WOCOMPANY_031,SDPLDEAL-053,Monthly Contract,May,Executed until current month,,21-01-2025,Purchase Order,15-05-2025,19-05-2025,OWNER_004,Mining,LiDAR Survey: LiDAR,SPECTRA,20-06-2025,SDPL/FY25-26/083,184980,218276.4,184980,218276.4,,0,0,218276.4,,,7 mines,1,6,Fully Billed,,,,Closed,,,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-054,One time Project,,Completed,23-01-2025,14-05-2025,Purchase Order,04-06-2025,11-06-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,31-07-2025,SDPL/FY25-26/377,65976.2,77851.916,65967.5676,77841.72977,77841.72977,8.6324,10.186232,0,,,194.52 Ha,,194.52,Fully Billed,,July,,Closed,,,
Asuna,WOCOMPANY_018,SDPLDEAL-055,Monthly Contract,May,Executed until current month,,11-04-2023,Purchase Order,,,OWNER_001,Mining,Videography for construction monitoring,NONE,31-03-2025,SDPL/FY24-25/565,1775808,2095453.44,369960,436552.8,224434.0389,1405848,1658900.64,212118.7611,,,24 Months,,24,Partially Billed,,,,Open,,,
Sakura,WOCOMPANY_002,SDPLDEAL-056,One time Project,,Completed,,28-02-2025,Purchase Order,08-05-2025,,OWNER_008,Mining,Raw images/videography,NONE,,,30830,36379.4,30830,36379.4,,0,0,36379.4,,,73 Ha,,73,Fully Billed,,,,Closed,,,
Asuna,WOCOMPANY_018,SDPLDEAL-057,Monthly Contract,May,Executed until current month,,12-07-2024,Purchase Order,,,OWNER_001,Mining,Videography for construction monitoring,NONE,31-03-2025,SDPL/FY24-25/566,665928,785795.04,110988,130965.84,81392.4332,554940,654829.2,49573.4068,,,18 Months,,18,Partially Billed,,,,Open,,,
Gohan,WOCOMPANY_026,SDPLDEAL-058,One time Project,,Completed,,28-03-2025,Purchase Order,,,OWNER_001,Construction,"Topography Survey: RGB, Hydrology",DMO,18-07-2025,SDPL/FY25-26/358,1514246.28,1786810.61,1514246.28,1786810.61,1635385.982,0,0,151424.628,,,1,1,0,Fully Billed,,August,,Closed,,,
Powerpuff Girls,WOCOMPANY_039,SDPLDEAL-060,Monthly Contract,Dec,Executed until current month,,23-01-2025,Purchase Order,,,OWNER_001,Mining,LiDAR Survey: LiDAR,NONE,16-06-2025,SDPL/FY25-26/412,3877242.46,4575146.103,2684244.78,3167408.84,2141430.836,1192997.68,1407737.262,1025978.005,,,13,7,6,Billed- Visit 7,,,,Open,,,
Rafiki,WOCOMPANY_048,SDPLDEAL-061,Monthly Contract,June,Executed until current month,,29-09-2022,Purchase Order,,,OWNER_003,Mining,"Topography Survey: RGB, Videography for construction monitoring",NONE,,,2757435.2,3253773.536,,0,,2757435.2,3253773.536,0,,,5000 HA,,5000,Fully Billed,,,,Open,,,
Bulbasaur,WOCOMPANY_050,SDPLDEAL-062,Annual Rate Contract,March,Executed until current month,,25-03-2025,Purchase Order,05-02-2025,20-06-2025,OWNER_004,Others,Others,SPECTRA + DMO,,,158699.3858,187265.2752,,0,,158699.3858,187265.2752,0,,,98000 Acres,,98000,,,,,Open,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-063,Annual Rate Contract,May,Executed until current month,,01-04-2025,LOA/LOI,01-04-2025,01-04-2026,OWNER_001,Mining,Mine survey,NONE,,,1.2332,1.455176,,0,,1.2332,1.455176,0,,49.494,NA,,,,,,,Open,,,
Shanks,WOCOMPANY_012,SDPLDEAL-065,One time Project,,Completed,,12-04-2025,Purchase Order,10-04-2025,16-04-2025,OWNER_004,Renewables,"Solar Inspection, Thermography",SPECTRA,24-06-2025,SDPL/FY25-26/088,24664,29103.52,24664,29103.52,2467.6332,0,0,26635.8868,Priority,,40MW,,40,Fully Billed,,,,Closed,,,
Subaru,WOCOMPANY_019,SDPLDEAL-066,One time Project,,Completed,,10-04-2025,Purchase Order,01-05-2025,10-06-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,27-06-2025,SDPL/FY25-26/095,81555.27726,96235.22717,81555.27726,96235.22717,96235.2284,0,0,-0.0012332,,456.137,456.090 HA,456.09,0,Fully Billed,,July,,Closed,,,
Frieza,WOCOMPANY_022,SDPLDEAL-067,One time Project,,Completed,,10-04-2025,Purchase Order,01-05-2025,16-06-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,06-08-2025,SDPL/FY25-26/386,125169.8,147700.364,116542.0245,137519.5889,20977.47192,8627.7755,10180.77509,116542.117,,467.87,700 HA,651.75,48.25,Fully Billed,,July,,Closed,,,
Subaru,WOCOMPANY_019,SDPLDEAL-068,One time Project,,Completed,,10-04-2025,Purchase Order,01-05-2025,16-06-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,21-07-2025,SDPL/FY25-26/361,61690.83,72795.1794,61690.83,72795.1794,72795.796,0,0,-0.6166,,353.851,345 HA,345,0,Fully Billed,,July,,Closed,,,
Subaru,WOCOMPANY_019,SDPLDEAL-069,One time Project,,Completed,,10-04-2025,Purchase Order,01-05-2025,16-06-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,03-11-2025,SDPL/FY25-26/528,144622.2968,170654.3102,144622.2968,170654.3102,,0,0,170654.3102,,918.667,808.790 HA,,808.79,Fully Billed,,November,,Closed,,,
Subaru,WOCOMPANY_019,SDPLDEAL-070,One time Project,,Completed,,10-04-2025,Purchase Order,01-05-2025,17-06-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,28-07-2025,SDPL/FY25-26/375,80098.8064,94516.59155,80098.8064,94516.59155,73807.6366,0,0,20708.95495,,447.929,447.950 HA,447.95,0,Fully Billed,,July,,Closed,,,
Subaru,WOCOMPANY_019,SDPLDEAL-071,One time Project,,Completed,,10-04-2025,Purchase Order,01-05-2025,17-06-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,28-07-2025,SDPL/FY25-26/376,94747.9892,111802.6273,94747.9892,111802.6273,92852.5608,0,0,18950.06646,,529.845,529.870 HA,529.87,0,Fully Billed,,July,,Closed,,,
Subaru,WOCOMPANY_019,SDPLDEAL-072,One time Project,,Completed,,10-04-2025,Purchase Order,01-05-2025,17-06-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,28-07-2025,SDPL/FY25-26/374,234398.0236,276589.6678,234398.0236,276589.6678,,0,0,276589.6678,,1310.802,"1,310.85",1310.85,-1309.85,Fully Billed,,July,,Closed,,,
Tanjiro,WOCOMPANY_051,SDPLDEAL-073,One time Project,,Completed,,28-04-2025,Purchase Order,15-05-2025,15-06-2025,OWNER_001,Mining,Others,NONE,30-06-2025,SDPL/FY25-26/103,321865.2,379800.936,166482,196448.76,196448.76,155383.2,183352.176,0,,,145 pillars,75,70,Fully Billed,,July,,Closed,,,
Frieza,WOCOMPANY_022,SDPLDEAL-074,One time Project,,Completed,,10-04-2025,Purchase Order,01-05-2025,16-06-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,30-06-2025,SDPL/FY25-26/100,188717.7922,222686.9948,188717.7922,222686.9948,222687.5564,0,0,-0.56159928,,1055.386,1100 HA,1055.386,44.614,Fully Billed,,June,,Closed,,,
Yuji Itadori,WOCOMPANY_006,SDPLDEAL-076,One time Project,,Completed,,01-04-2025,Purchase Order,05-04-2025,11-04-2025,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,,,431620,509311.6,431620,509311.6,509311.6,0,0,0,,,222 HA,,222,,,,,,,,BIlled
Winnie the Pooh,WOCOMPANY_042,SDPLDEAL-077,Proof of Concept,,Completed,,18-04-2025,Email Confirmation,30-04-2025,30-04-2025,OWNER_003,Mining,"Volumetric survey, Others",NONE,,,0,0,,0,,0,0,0,,,152 HA,,152,,,,,,,,Not Billable
